		Raw.Average	Raw.Average	Raw.Average	Raw.Average	Raw.Average	Raw.RSD	Raw.RSD	Raw.RSD	Raw.RSD	Raw.RSD	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	ExtCal.Average	ExtCal.Average	ExtCal.Average	ExtCal.Average	ExtCal.Average	ExtCal.RSD	ExtCal.RSD	ExtCal.RSD	ExtCal.RSD	ExtCal.RSD	
		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
		Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Sc 424.683 {79} (Axial)	Fe 259.940 {130} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Sc 424.683 {79} (Axial)	Fe 259.940 {130} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Sc 424.683 {79} (Axial)	Fe 259.940 {130} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Sc 424.683 {79} (Axial)	Fe 259.940 {130} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Sc 424.683 {79} (Axial)	Fe 259.940 {130} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Sc 424.683 {79} (Axial)	Fe 259.940 {130} (Axial)	
		Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (%)	Y (%)	Y (%)	Y (%)	Y (%)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (ppm)	Y (ppm)	Y (ppm)	Y (%)	Y (ppm)	Y (%)	Y (%)	Y (%)	Y (%)	Y (%)	
1	matrix blank	68.957652780764349	44.630825176473685	18.91858068922291	42118.684131351554	49.039910449480395	4.66669396322726	4.76084521316406	12.091159643290512	1.1166643757726611	7.9700180356931121	68.973577002217141	44.642941806683844	18.923862940586105	42118.684131351554	49.030781801829448	0	0	0		0	0	0	0	100	0	0.052091792891084752	0.05459129919471483	0.12386260271974979	0.0111666437577232	0.075495525350428666	
2	STD0.05 - DNU	3499.5618729663438	2105.0105657853774	1974.8025447090431	42075.969189172371	3492.895767071705	0.69028159687517654	0.61939990904530462	0.8628381984486041	0.78921020682932141	0.56095668313579483	3503.1369341890145	2107.1663975302267	1976.8003998507979	42118.684131351554	3496.4908340980851	3434.1633571867974	2062.5234557235431	1957.8765369102118		3447.4600522962555	0.31320549800497272	0.31673027944237286	0.31515742433254845	99.898584338375855	0.30517297387898035	0.21701241141348143	0.17657079681709831	0.12556894607898073	0.78921020683119536	0.34282784767895169	
3	STD0.08	969.156954358708	583.97020537839933	533.98529703233316	42177.955135029617	951.94581825791283	0.71395012397720536	1.1568120909437405	1.7519013623520134	1.0164364389181213	0.2518057037286216	967.81655242635759	583.17641588525976	533.21278013136055	42118.684131351554	950.66051696727243	898.84297542414049	538.53347407857586	514.28891719077444		901.629735165443	0.081977044323426534	0.082699596584293128	0.082784571677030544	100.14072377829568	0.079813260616285908	0.40946239931995687	1.4085151970702909	0.91213834235765712	1.0164364389175322	0.87198614938333829	
4	STD0.12	1498.0117665108164	905.62229953812357	831.09244652457949	42333.294795531991	1495.9638781674421	0.31897912585522964	0.298300665586218	0.62963694852334773	0.42412294631645048	0.5846300206633096	1490.4224203518902	901.03440483550537	826.87439233796556	42118.684131351554	1488.375487428596	1421.4488433496731	856.39146302882148	807.95052939737946		1439.3447056267664	0.12964019080170691	0.13151128373569312	0.13005498714175279	100.50953791317684	0.12741238407114083	0.15014606249675011	0.13224824838312194	0.2103767968695098	0.42412294631348058	0.27368996501069187	
5	STD0.2 - DNU	2978.9216860626984	1787.9137703856115	1681.1921019892898	42337.813345565315	2992.4879617085339	1.0933283086819723	1.019706918984675	1.2850452601041571	0.98823927382315491	0.45855496386244621	2963.4847401126613	1778.6694050227645	1672.458956148321	42118.684131351554	2977.1059850907773	2894.5111631104442	1734.0264632160806	1653.5350932077349		2928.0752032889477	0.26398767793783995	0.26628481956450289	0.26616788709324468	100.52026604993259	0.25919645303324307	0.17450719750030941	0.47958678410962585	0.33415895459002354	0.98823927382438015	0.559095842154401	
6	STD0.75	8464.5053092334219	5074.9772979922636	4808.4178412551073	42412.586254791247	8548.5083504314189	0.36067998423450864	0.59760241673432446	0.27058019406209494	0.26438808227696892	0.18218969993337034	8405.8494485817882	5039.7882914669244	4775.1024433396406	42118.684131351554	8489.2893580083364	8336.875871579572	4995.1453496602408	4756.1785803990542		8440.2585762065064	0.76034686984218769	0.76707674672147874	0.76559730034343021	100.69779512228618	0.74714101713604519	0.24540143720536786	0.4036204199435246	0.18711525797331527	0.26438808228177846	0.1727895861779552	
7	STD2.25	24958.88116817387	14909.447476678492	14198.807305971952	42173.258508801526	25194.8647619858	0.10223767559965816	0.21156915674614649	0.13026582509640464	0.044944341075826878	0.057631292131099673	24926.582078193784	14890.155607990375	14180.43014595627	42118.684131351554	25162.267118850934	24857.608501191567	14845.512666183691	14161.506283015684		25113.2363370491	2.2670848297112216	2.2797429828870257	2.279563476391516	100.12957284534288	2.2230514350987916	0.085206475582442862	0.21560200882434827	0.090917321419708458	0.044944341066250539	0.090929112386551464	
8	STD5	56093.14409712248	33296.436979701051	31691.034171456788	42711.030364718572	56222.806725494891	0.18430815550429985	0.24054633551781335	0.32591841720661779	0.20406801482707029	0.14820870188989516	55315.222824189317	32834.6425626045	31251.469165510029	42118.684131351554	55443.119514350139	55246.2492471871	32789.999620797818	31232.545302569444		55394.08873254832	5.0386155836648179	5.0353782469675137	5.0274715219996668	101.40637402517069	4.90354595481624	0.04214996266368063	0.03656565732203404	0.12244368216149389	0.20406801482640061	0.084953550679799733	
9	STD10	112436.41825365827	66768.681906456317	63699.356911997311	43267.788157082796	113273.3506947289	0.19279189510342498	0.1577983406518827	0.18994057305185019	0.34883279615106588	0.16186864122649294	109450.86484813315	64995.731876555714	62007.877383055231	42118.684131351554	110265.52447644724	109381.89127113092	64951.08893474903	61988.953520114643		110216.49369464541	9.97594061930842	9.97417822876236	9.9782997345175932	102.72825243577802	9.75648583046102	0.24534091160424934	0.19208924653879267	0.18150696977669706	0.34883279615047297	0.18901414671870798	
10	matrix blank	136.04820357866683	82.817197415524518	61.262732452764908	43500.269327639762	124.92210723097681	2.09347364789671	3.7512116324750906	6.69159194001014	0.094934031975098282	2.5329381393507697	136.04657107117825	82.815467139702278	61.265061348295745	43500.269327639762	124.92066469410028	0	0	0		0	0	0	0	100	0	0.0200240495252053	0.036635588234117986	0.06771720309397046	0.00094934031973984367	0.024629586572347421	
11	1A	1422.9947935429855	845.28082900753532	791.31387218229884	42156.015705980513	1437.7749586847156	0.09510568637540541	1.2846743550580466	0.50054628035862958	0.4707746362577297	0.46663157417464712	1468.3929120392313	872.21402041313661	816.54772967259271	43500.269327639762	1483.6244271933685	1399.4193350370142	827.57107860645272	797.6238667320066		1434.593645391539	0.12763103677953971	0.12708549726213703	0.12839271459993762	96.909780922195068	0.12699181496836132	0.51630354661338629	0.88995160426085984	0.24467307027696675	0.47077463626210092	0.21448786298079295	
12	1B	196.69327991132937	115.71431675367835	89.188767524077477	42303.665840287744	182.25806137129132	3.3857338309637846	4.3967919877960036	5.0973811153926167	0.19122140122309977	6.2885730734166714	202.25219382596228	118.98271592896494	91.709678924867177	43500.269327639762	187.41336703430053	133.27861682374515	74.3397741222811	72.785815984281072		138.38258523247109	0.01215539018210555	0.011415946502859547	0.011716259866799172	97.249204416783428	0.012249779381874505	4.9632767733595129	6.8053319673609405	6.3347515096638372	0.1912214012468435	8.5064047279491852	
13	1C	1275.2079871596281	758.16317076032408	704.5588054121481	41515.698530137066	1288.0262501130055	0.23256310632174651	0.13324430651195326	1.3088044588923442	0.40369224862695569	0.87963762867012463	1336.1894390595696	794.41598483793484	738.26639735688434	43500.269327639762	1349.63461215822	1267.2158620573525	749.773043031251	719.34253441629824		1300.6038303563907	0.11557370278407668	0.11513848474238987	0.1157918469758366	95.437796528212047	0.11513088845913751	0.66925401908223447	0.52746116793677389	1.6793610727165387	0.403692248620342	1.2431489294775084	
14	2A	436.28565644830832	259.02871443473038	227.17974501321217	42278.129913325887	424.02082123254178	0.7427467285589795	0.88422898414996476	0.60148563137246436	0.22823861896538519	0.62366667240182561	448.894220310938	266.51586281437966	233.74978506235442	43500.269327639762	436.27717737649607	379.92064330872086	221.87292100769582	214.82592212176831		387.24639557466662	0.034649846822474566	0.034071793014742037	0.034580313425997218	97.190501499866954	0.034279478911647593	0.63024698184400807	0.97648345425283978	0.8999976026065587	0.22823861896097158	0.59398834091913921	
15	2B	228.23441227794987	132.66977764259897	111.7291665027891	42281.134487164374	214.72871815366707	5.8689579201820186	2.9856042921315229	7.8339859326514789	0.68846633505290977	4.2854925693854895	234.8736437233926	136.50751994526712	114.99166408031688	43500.269327639762	220.9555670620359	165.90006672117548	91.864578138583283	96.067801139730776		171.92478526020645	0.01513055950227985	0.014107133387475615	0.015463937688465946	97.197408523397883	0.015218971998360253	9.0951870786627538	4.9690061223145809	10.0962008342911	0.68846633505988	6.1203164627244409	
16	2C	423.582040638094	249.55279206240823	226.967343691332	41715.191595952005	418.10612115441774	2.3460273433894123	1.8324358533432443	2.6478950219729995	0.4278326820410317	2.0251429051539751	441.73703311753815	260.24577602911467	236.700288092339	43500.269327639762	436.02816485935034	372.76345611532105	215.60283422243083	217.7764251517529		386.99738305752089	0.03399709092647666	0.033108930588080204	0.035055252942297256	95.896398437805672	0.03425743604842723	3.2006303784130274	2.644953555047608	3.3324792960206415	0.427832682046767	2.7574202086840143	
17	4A	352.659956858926	211.00939536424968	181.137323512984	42169.07518081474	346.21372946943592	0.38198176680493023	0.89080616194189954	1.1785977008746835	0.32254350321656228	1.5085062388492656	363.79822744271769	217.67306911886647	186.86112204269415	43500.269327639762	357.14117173664164	294.82465044050053	173.03012731218263	167.93725910210804		308.11038993481219	0.026888849440465393	0.026571276279770351	0.027032692322680105	96.939802517546283	0.027274272233202581	0.86827866421526445	1.2794879695329333	1.649673512125446	0.32254350321288616	1.6469262969716971	
18	4B	384.44636928311382	228.94415333385189	201.71247630459928	41764.475720811934	371.7503596314711	1.4646510792414724	1.3349285856609872	0.38581607169526266	0.11320033117112939	1.3664955536161527	400.42206956146055	238.45977295638133	210.09625977496347	43500.269327639762	387.19787444276716	331.44849255924339	193.81683114969749	191.17239683437737		338.16709264093771	0.030229048352567525	0.029763375015361363	0.030772829161579172	96.009694575097924	0.02993492477469184	1.6850883327373889	1.6572771042265861	0.46716093171490453	0.11320033115187897	1.4578962972158123	
19	STD0.05	638.42587021879615	381.4107554192201	352.729079378674	42044.103553542984	639.91082883559648	1.6557729286321889	1.5194197150400717	1.4565388522933018	0.86512751068558491	1.7754439508630342	660.50853019728049	394.62495576250063	364.96642954938716	43500.269327639762	662.06517298472193	524.46195912610222	311.80948862279837	303.70136820109138		537.14450829062173	0.048288952523177213	0.048615961654483064	0.04884282875748746	96.652513199104391	0.04830252699309618	1.0483763225820706	1.7449937360465457	2.1077772415275176	0.86512751068733473	1.7460338845097154	
20	STD0.2	2249.7697313344793	1330.452549243766	1271.0218491318608	42313.837625786815	2289.5133833270825	0.066414108967902369	0.32615688689316397	0.801598948559356	0.40405084395604418	0.15776130781904332	2312.8744201062286	1367.780006990301	1306.6501835867784	43500.269327639762	2353.72432023409	2176.82784903505	1284.9645398505986	1245.3851222384826		2228.80365553999	0.20042776186920572	0.20034600958637924	0.20028929281062816	97.27258768694773	0.20042436825172594	0.40994043776501604	0.71409849772958434	0.53387057426245466	0.4040508439509	0.25977029282430253	
21	4C	633.94949407181127	378.84250730968569	342.890251542037	40726.694971506404	632.894092068049	3.5633160302614222	2.4582848556739747	3.3621819964546482	0.43950823322123761	2.8825199088242526	677.117452710054	404.6490915163771	366.24522781111767	43500.269327639762	675.99960055689246	541.07088163887568	321.83362437667483	304.9801664628219		551.078935862792	0.049818191120418555	0.050178880735561211	0.049048491724641811	93.624006473975911	0.049555575387987237	4.3943288686116357	3.1716904756725244	4.0620973174290986	0.43950823322183818	3.5414903839739726	
22	8A	585.30770091517161	347.56691867849486	320.14453480503533	41310.029228757732	583.45071476756641	1.2162276170431838	1.5472708677538443	1.0908453214993998	0.35684073691029655	1.281963747454411	616.32796417841359	365.98772052901217	337.12355349832848	43500.269327639762	614.37240853595017	480.28139310723526	283.1722533893099	275.8584921500327		489.4517438418498	0.044221101237095294	0.044150970110605169	0.044364993062729063	94.964996463848635	0.044013772278851254	1.1033547772680645	1.6800021953775459	1.5064531933526253	0.35684073690758689	1.1884613151813912	
23	8B	340.657512043483	199.88958854684998	172.36328241411738	41381.229958682437	329.77216905526308	1.500506589054545	1.3314790840269928	2.2560302506008036	0.277494407736728	1.1211452856902904	358.09380085440637	210.12244687498674	181.19381098173693	43500.269327639762	346.65614250725315	222.04722978322812	127.30697973528446	119.92874963344117		221.73547781315284	0.02044462510640779	0.019849143374356292	0.019287563359171929	95.128675289348379	0.019939483206262345	1.9768116885586062	1.8510964475437315	3.614656747400006	0.2774944077428188	1.5038413005249263	
24	8C	663.11837106550865	394.57445493199884	356.82308720692276	41681.982886792859	660.47825698535837	0.34539785698444653	1.3447821942092895	1.9674206260946612	0.61878051219907648	0.87021033255878077	692.070985619638	411.77462043352784	372.37276547666983	43500.269327639762	689.2869575644861	556.02441454845973	328.95915329382558	311.10770412837411		564.36629287038591	0.05119501250500072	0.051289861809723364	0.050033954103940188	95.820057050332863	0.0507504361947535	1.1430331603868946	0.91027980021802257	1.7836327013828139	0.618780512190906	0.59402856802801018	
25	16A	1133.8271883958632	665.82256593102	627.72709033846934	42649.441062492049	1144.4936570614054	0.524869015881394	0.82604699453068942	1.4870997641672365	0.58310880038617108	1.096007497970942	1156.4490373509977	679.10132110381289	640.24164634872022	43500.269327639762	1167.3049950382187	1020.4024662798195	596.28585396411063	578.97658500042462		1042.3843303441186	0.093951840340953316	0.0929702631548151	0.093114016453973256	98.0440850636134	0.093736036534856571	0.092090342607213743	0.46772779766738648	1.3500409376306226	0.58310880038270341	0.65025612806048338	
26	16B	3251.6633593491592	1918.5778146548992	1839.3020177047529	42432.094880933975	3307.6487147336616	0.091988320347682562	0.22797067737361418	0.11033625962542971	0.16938430876041113	0.35511553762285125	3333.529668856555	1966.8796265991218	1885.6067517606086	43500.269327639762	3390.9161367696192	3197.4830977853771	1884.0641594594194	1824.3416904123126		3265.995472075519	0.29440287673084559	0.29375498268325589	0.29340009005475909	97.544441762738529	0.29369346984723149	0.27165988569382227	0.30391144659537839	0.16421279875925421	0.16938430875356275	0.34561523212947765	
27	16C	3518.6463317367957	2071.9815060785168	1994.8579039415324	42913.459757320117	3593.2011283799038	0.54231944861896608	0.38653234992290791	0.48299605998895995	0.34816512252145704	0.21925786995660337	3566.75266053584	2100.3129448114623	2022.1299321813169	43500.269327639762	3642.3515104278013	3430.7060894646615	2017.4974776717602	1960.8648708330211		3517.4308457337011	0.3158764913115486	0.31455931776072044	0.31535645581700028	98.65102083414736	0.31630370552066878	0.32968834783787554	0.097672662632475774	0.14835169219960853	0.34816512252243664	0.25098045739841512	
28	1A CC	957.65226838215438	566.056952914185	525.69640928330364	42465.550115594153	963.47995522596466	0.54810134624546136	0.562610135702349	0.24411922520237725	0.41296442822820928	0.95180550497552741	980.983284392251	579.8494580837563	538.50830474409725	43500.269327639762	986.94186358051411	844.93671332107272	497.03399094405404	477.24324339580153		862.0211988864138	0.077796126343722891	0.077495349969744456	0.076752732959091338	97.621349871992265	0.077516946715769142	0.20703226249447812	0.44000006428767485	0.22920988946054688	0.41296442822846668	0.62819562304839849	
29	1B CC	927.8265847284564	545.77437383667677	511.33208140070866	42938.818710110514	930.96845008475157	1.0874082057927337	0.64998374818384919	1.2286814686589396	0.31238635972369161	0.060303146365126459	939.97474565961193	552.90955094542494	518.02533213303536	43500.269327639762	943.14718925577847	803.92817458843365	470.09408380572268	456.76027078473959		818.22652456167816	0.074020334133349922	0.0732949983441503	0.073458555097423051	98.709316916406976	0.073578726355932822	1.4822088119221097	0.60336451944196912	1.5378089451327448	0.31238635972662532	0.34518915980206583	
30	1C CC	2123.9357245861779	1251.3681067995578	1188.8883621026132	41862.378400882975	2151.1636233607833	0.57604777180184907	0.70719177991892535	0.97438639534256533	0.46191622702127449	0.4504364454550292	2207.037739176169	1300.3250469840034	1235.384946544274	43500.269327639762	2235.3304551363526	2070.9911681049907	1217.509579844301	1174.1198851959782		2110.4097904422524	0.1906830275339296	0.18982872942420306	0.18882804787173793	96.234756813985783	0.18977784245385565	0.40138679854553017	0.48110179142377	0.54085792661114174	0.46191622701785717	0.085465673112333107	
31	2A CC	1629.3160452823097	965.10111072762618	915.20893770469138	41575.562469457647	1656.3650246986335	0.75217071533371	0.75492800027891616	0.65128712703792047	0.55624857979980979	0.1153793005517695	1704.7315516682122	1009.7760257758671	957.57552797563847	43500.269327639762	1733.0769094870138	1568.6849805970339	926.96055863616471	896.31046662734275		1608.1562447929136	0.14443403040726141	0.14452760617682817	0.14414929670661145	95.575413927473846	0.14461287274522083	0.21240903454403626	0.423417112301691	0.22228016294327493	0.55624857980435394	0.5441604871547262	
32	2B CC	1373.077081434041	811.11688843524462	764.16226745083043	41589.003407505857	1386.9719418889633	0.61044002690082	1.0532814471711753	1.0740447590558968	0.57437152380278655	0.72158823961008178	1436.191881791628	848.38092475316228	799.29951521145085	43500.269327639762	1450.7256021456769	1300.1453107204497	765.56545761346	738.03445386315514		1325.8049374515767	0.11970869209889778	0.11936359312130135	0.11869452765617905	95.606312444324331	0.11922253283875395	0.62969891129915267	0.67042957550345272	1.3460981235174008	0.57437152380016387	0.75458059373319164	
33	2C CC	1719.4417131461566	1014.3239058487733	967.73344664181911	41532.282650067718	1740.6293055230308	0.59500838617440255	0.2598043333486903	0.16938329552891115	0.2826354631700605	0.16794036851620514	1800.9060626982161	1062.3887803593759	1013.5915849096455	43500.269327639762	1823.115305653416	1664.8594916270379	979.57331321967365	952.32652356134986		1698.1946409593158	0.1532891367047822	0.15273075506323949	0.15315808943185785	95.475920705802153	0.15270954318328045	0.34044192818168462	0.19918482665947043	0.16730799296842278	0.28263546317545851	0.27517429565292095	
34	4A CC	2598.3371545740561	1527.1220149040566	1468.6443494548741	41113.005865034065	2628.6805343079445	0.48308481715012253	0.563364440001336	0.82932829169550371	1.0401798596441294	0.64325362447705836	2749.3180973199205	1615.8544250200641	1553.9523497538012	43500.269327639762	2781.4097572476517	2613.2715262487422	1533.0389578803617	1492.6872884055053		2656.4890925535515	0.24061257916869161	0.23902467984642006	0.24006170946122982	94.512071995175333	0.23888382757235357	0.58633262429518351	0.60196618053325968	0.44304701065041679	1.0401798596436287	0.60197382766267238	
35	4B CC	2588.4042322100563	1521.3201475851322	1462.8027021533871	41249.724580244219	2626.4044720780116	0.28728392014654563	0.55784268369894341	0.26893708213304945	0.47546475137325284	0.41183600088202366	2729.6562538155749	1604.3178525007554	1542.6428890337172	43500.269327639762	2769.7048862533738	2593.6096827443967	1521.502385361053	1481.3778276854214		2644.7842215592736	0.23880224800743532	0.23722594828857013	0.23824286334748812	94.826365946278031	0.23783127125198641	0.46935618126517176	0.10448253260279308	0.6996033542224015	0.47546475137945959	0.11518569125155123	
36	4C CC	3163.4195580448263	1860.990349392152	1789.9393721542131	40379.260976258658	3221.8970203927506	0.56787267431959065	1.4330606406925726	0.89410947669660978	0.55492922808066691	0.82128699860761234	3407.9280450803985	2004.7655031957008	1928.2638081260861	43500.269327639762	3470.8909718201844	3271.8814740092203	1921.9500360559985	1866.99874677779		3345.9703071260842	0.3012529820526138	0.29966198163957652	0.30026041904075812	92.825312579391209	0.30088517816626781	0.13556737766347488	0.91756816228085425	0.3513565697323236	0.55492922808687062	0.28039825156159126	
37	8A CC	4855.8964384808278	2855.4864653101286	2758.8256345794275	40443.325210348878	4944.3964074700007	0.92854065052013113	0.822749378928014	1.1529579471006357	0.94098048988936567	0.89317102531315751	5222.9414893371231	3071.3456126550677	2967.3260258007376	43500.269327639762	5318.1409835333607	5086.8949182659453	2988.5301455153653	2906.060964452442		5193.2203188392605	0.46836729132431415	0.46595845302643107	0.46736779253357136	92.972585768914939	0.46699847203149486	0.15721079745431316	0.18579237329203427	0.40575592566394253	0.94098048988990968	0.11974189007207228	
38	8B CC	4925.8958002209047	2899.1114915700841	2799.9275771612843	40314.805249002005	5024.97355098382	0.91297717203802065	0.93391037253429343	0.97852783071049632	1.08749032239731	1.1127743078137253	5315.1812329416007	3128.2225661045104	3021.1881937645994	43500.269327639762	5422.0137054819188	5179.1346618704229	3045.407098964808	2959.9231324163038		5297.0930407878186	0.47686011053104654	0.47482645701224618	0.47603018566649924	92.677139411149028	0.47633918924693	0.18092755296821458	0.25195401059168065	0.15947244217052037	1.0874903223961161	0.13974618964840238	
39	8C CC	5317.9598046169995	3123.468313696827	3026.2457417570317	40555.503140481829	5428.3261503215426	0.59752004539070991	0.32834625260320371	0.78223696528916442	0.37929651287759625	0.73412966895917209	5704.06948702518	3350.2734315307689	3245.9508131526263	43500.269327639762	5822.43036500623	5568.0229159540022	3267.4579643910665	3184.6857518043307		5697.50970031213	0.51266634225384722	0.50944764960836664	0.51217767553419324	93.230464471430651	0.51234651354539229	0.22508138402044159	0.18525615711556234	0.41349061256129971	0.37929651287451349	0.37545501783172636	
40	16A CC	8862.1118045809762	5190.55276727316	5043.9575144773571	40516.736821214072	9029.8321687067273	0.459805060775029	0.27582751365685015	0.32558217353908897	0.040197020340316254	0.1150426409897861	9514.7009083960274	5572.7728332755369	5415.3839702986452	43500.269327639762	9694.766202019644	9378.65433732485	5489.9573661358345	5354.1189089503505		9569.8455373255438	0.86352381930807953	0.855969964145895	0.86107716460444894	93.141347047867654	0.86056492294309994	0.496450425259287	0.30670064465542174	0.36259279941749112	0.040197020292333664	0.15626971102163878	
41	16B CC	9980.4356787412271	5862.2000358387677	5691.0880341389138	40963.701383118343	10200.764026929784	0.73366633978835649	0.88617966499348233	0.72134143172299	0.73690837260456776	0.67301171733126552	10598.468640198564	6225.1666775532749	6043.5081315434418	43500.269327639762	10832.453533146971	10462.422069127386	6142.3512104135725	5982.2430701951453		10707.53286845287	0.96330990986528031	0.9576883379423885	0.96209534910536976	94.168845426182926	0.96287104759540465	0.24009483728135539	0.2810645663740643	0.228563636754733	0.73690837260150888	0.075798441828438479	
42	16C CC	8519.9025968751685	5007.538111539664	4857.6663705114888	40600.226278833034	8678.0757731518843	0.38585234561895426	0.33892270597448987	0.38041392866251533	0.36245826466616865	0.45128969581918649	9128.4690100896332	5365.2373520243054	5204.64516764308	43500.269327639762	9297.9359803251682	8992.4224390184554	5282.4218848846031	5143.3801062947841		9173.015315631068	0.82796216707436676	0.82361194629654066	0.82718505765862727	93.333275647183029	0.82488010777841991	0.073447947650458617	0.25953451847151282	0.1002307652654913	0.36245826466294073	0.21704835369484349	
43	Riffled vial 2712	59377.570993797235	34598.12299073254	33643.283189462934	41145.006386807334	60109.5394963781	0.3795215308383571	0.24861060156479284	0.33024037633946712	0.20213652474078558	0.33690774550708463	62776.372127296578	36578.610335221965	35569.063931485223	43500.269327639762	63550.379544708776	62640.3255562254	36495.794868082259	35507.798870136925		63425.458880014674	5.76750258848352	5.6902635378198632	5.7105483259497944	94.585635957578049	5.7035116105922405	0.17980887004284113	0.10396922056337095	0.1287211461607973	0.20213652473748139	0.26208441085350936	
44	Riffled vial 2702	62094.173915126892	36211.748336767916	35153.366323101327	41825.795321768142	62819.519734138383	0.10634556706863747	0.29137681463588677	0.2867111967324672	0.32884713707511731	0.52937010777724225	64580.414112721774	37661.50318184746	36560.76226840046	43500.269327639762	65334.197089112073	64444.367541650594	37578.687714707761	36499.497207052162		65209.276424417971	5.933606719141868	5.8591034193128406	5.8700383945521972	96.150658302228791	5.8639207626163374	0.24044960358202278	0.0758351483921312	0.12062054559174151	0.32884713707761259	0.21965830256612218	
45	BMF control	172.05170518221709	100.49067660040446	80.659130488410412	41647.029766232641	158.88199276835689	0.74250584339125691	2.0603121278276419	1.8440571538267641	0.47306435716754647	0.837125335968994	179.70885993606885	104.95943739242674	84.2509806042859	43500.269327639762	165.95059713703043	43.662288864890606	22.143970252724468	22.985919255990154		41.029932442930125	0.0040201317890874973	0.0034525902769648839	0.0036967147191460229	95.739705546536513	0.0036896019390693785	2.9378046717035611	8.4665481392689479	7.4399448591578556	0.47306435716254713	1.8779094891136539	
